codigo_produto,produto_nome,base_legal,unidade,data_atualizacao
0001,MOTOCICLETA ATÉ 100 CM3,"PORTARIA INTERMINISTERIAL SEPEC/ME/SEXEC/MCTI N° 43, 29 DE JULHO DE 2020. Alterações: PI 11577/2021, POR 423/2022, POR 11/2022, POR 654/2023, POR 202/2021, POR 819/2021, POR 1.010/2023, POR 1.603/2024, POR 1.814/2025 e POR 1.952/2025",UNIDADE,
0002,MOTOCICLETA ACIMA DE 100 CM3 ATÉ 450 CM3,"PORTARIA INTERMINISTERIAL SEPEC/ME/SEXEC/MCTI N° 43, 29 DE JULHO DE 2020. Alterações: PI 11577/2021, POR 423/2022, POR 11/2022, POR 654/2023, POR 202/2021, POR 819/2021, POR 1.010/2023, POR 1.603/2024, POR 1.814/2025 e POR 1.952/2025",UNIDADE,22/05/2026 18:05
0003,MOTOCICLETA ACIMA DE 450 CM3,"PORTARIA INTERMINISTERIAL SEPEC/ME/SEXEC/MCTI N° 43, 29 DE JULHO DE 2020. Alterações: PI 11577/2021, POR 423/2022, POR 11/2022, POR 654/2023, POR 202/2021, POR 819/2021, POR 1.010/2023, POR 1.603/2024, POR 1.814/2025 e POR 1.952/2025",UNIDADE,15/05/2026 11:05
0004,TELEVISOR EM CORES,"PORTARIA INTERMINISTERIAL MDIC/MCTI N° 4, 8 DE MAIO DE 2023. Alteração: PI 122/2025",UNIDADE,
0005,CICLOMOTOR,"PORTARIA INTERMINISTERIAL SEPEC/ME/SEXEC/MCTI N° 43, 29 DE JULHO DE 2020. Alterações: PI 11577/2021, POR 423/2022, POR 11/2022, POR 654/2023, POR 202/2021, POR 819/2021, POR 1.010/2023, POR 1.603/2024, POR 1.814/2025 e POR 1.952/2025",UNIDADE,
0006,MOTONETA ATÉ 100 CM3,"PORTARIA INTERMINISTERIAL SEPEC/ME/SEXEC/MCTI N° 43, 29 DE JULHO DE 2020. Alterações: PI 11577/2021, POR 423/2022, POR 11/2022, POR 654/2023, POR 202/2021, POR 819/2021, POR 1.010/2023, POR 1.603/2024, POR 1.814/2025 e POR 1.952/2025",UNIDADE,02/03/2026 17:03
0007,MOTONETA ACIMA DE 100 CM3 ATÉ 450 CM3,"PORTARIA INTERMINISTERIAL SEPEC/ME/SEXEC/MCTI N° 43, 29 DE JULHO DE 2020. Alterações: PI 11577/2021, POR 423/2022, POR 11/2022, POR 654/2023, POR 202/2021, POR 819/2021, POR 1.010/2023, POR 1.603/2024, POR 1.814/2025 e POR 1.952/2025",UNIDADE,15/05/2026 11:05
0008,PEÇAS PLÁSTICAS MOLDADAS POR INJEÇÃO,"DECRETO ANEXO VII N° 783, 25 DE MARÇO DE 1993",QUILOGRAMA LÍQUIDO,22/12/2025 17:12
0009,TELEVISOR EM PRETO E BRANCO,"PORTARIA INTERMINISTERIAL MDIC/MCTI N° 4, 8 DE MAIO DE 2023. Alteração: PI 122/2025",UNIDADE,
0013,"MOTOR DE CORRENTE CONTÍNUA COM POTÊNCIA NÃO SUPERIOR A 37,5 W","PORTARIA INTERMINISTERIAL SEPEC/ME/SEXEC/MCTI N° 5200, 5 DE MAIO DE 2021 - II - MOTOR DE CORRENTE CONTÍNUA COM POTÊNCIA NÃO SUPERIOR A 37,5 W.",UNIDADE,
0014,MOTOR ELÉTRICO UNIVERSAL,"PORTARIA INTERMINISTERIAL SEPEC/ME/SEXEC/MCTI N° 5200, 5 DE MAIO DE 2021 - I - MOTOR UNIVERSAL.",UNIDADE,
0015,LEITE EM PÓ (EXCETO DE MATÉRIA-PRIMA DA REGIÃO AMAZÔNICA),"PORTARIA INTERMINISTERIAL MDIC/MCT N° 282, 27 DE DEZEMBRO DE 2001",QUILOGRAMA LÍQUIDO,
0016,IOGURTE (EXCETO DE FRUTAS REGIONAIS),"PORTARIA INTERMINISTERIAL MDIC/MCT N° 227, 10 DE OUTUBRO DE 2001",LITRO,
0017,FARINHA DE TRIGO,"PORTARIA INTERMINISTERIAL MDIC/MCT N° 39, 13 DE JUNHO DE 2000 - I- FARINHA E FARELO DE TRIGO.",QUILOGRAMA LÍQUIDO,
0021,CONVERSOR PARA TELEFONE CELULAR PARA VEÍCULO,"PORTARIA INTERMINISTERIAL SEPEC/ME/SEXEC/MCTI N° 722, 15 DE JANEIRO DE 2021 - C",UNIDADE,
0022,BOBINA DE INDUÇÃO,"PORTARIA INTERMINISTERIAL MDIC/MCT N° 280, 12 DE DEZEMBRO DE 2001 OBS: Resolução nº 2/99, para os produtos aprovados pela Portaria nº 251/96 e enquadrados no Decreto nº 2.891/98",UNIDADE,
0023,CARREGADOR DE BATERIA PARA EQUIPAMENTOS PORTÁTEIS/APARELHOS TELEFÔNICOS EM GERAL (EXCETO DE USO EM INFORMÁTICA),"Portaria Interministerial MDIC/MCT nº 474, de 7 de novembro de 2003. OBSERVAÇÃO: Para Carregador de bateria para telefone sem fio, observar a Portaria Interministerial MDIC/MCT nº 163, de 18 de setembro de 2006, em outro produto padrão.",UNIDADE,16/08/2024 17:08
0024,CARREGADOR DE BATERIA PARA TELEFONE CELULAR,"PORTARIA INTERMINISTERIAL SEPEC/ME/SEXEC/MCTI N° 723, 15 DE JANEIRO DE 2021 - B",UNIDADE,07/04/2026 11:04
0026,CONTROLADOR DE VELOCIDADE DE MOTORES ELÉTRICOS,"PORTARIA INTERMINISTERIAL MDIC/MCTI N° 160, 22 DE JANEIRO DE 2026",UNIDADE,
0027,CONVERSOR DE CORRENTE CONTÍNUA (CA/CC) - ADAPTADOR DE TENSÃO,"PORTARIA INTERMINISTERIAL MDIC/MCT N° 390, 28 DE AGOSTO DE 2003 OBS: (exceto para produtos com PPB específico)",UNIDADE,
0028,EQUIPAMENTO DE ALIMENTAÇÃO ININTERRUPTA DE ENERGIA MICROPROCESSADO (UPS OU NO BREAK),"PORTARIA INTERMINISTERIAL SEPEC/ME/SEXEC/MCTIC N° 70, 30 DE DEZEMBRO DE 2019",UNIDADE,
0033,AMPLIFICADOR DE POTÊNCIA PARA TELEFONE CELULAR,"PORTARIA INTERMINISTERIAL MPO/MICT/MCT N° 17, 23 DE SETEMBRO DE 1996. Alteração: POR 209/1999",UNIDADE,
0035,ADAPTADOR DE TELEFONE CELULAR PARA FAX/CELULAR,"PORTARIA INTERMINISTERIAL MPO/MICT/MCT N° 17, 23 DE SETEMBRO DE 1996. Alteração: POR 209/1999",UNIDADE,
0036,MÓDULO VIVA VOZ PARA TELEFONE CELULAR,"PORTARIA INTERMINISTERIAL MPO/MICT/MCT N° 17, 23 DE SETEMBRO DE 1996. Alteração: POR 209/1999",UNIDADE,
0040,BARBEADOR ELÉTRICO RECARREGÁVEL,"PORTARIA INTERMINISTERIAL MDIC/MCTI N° 145, 26 DE JUNHO DE 2012",UNIDADE,
0043,APARELHO DE DEPILAR ELÉTRICO OU RECARREGÁVEL,"Portaria Interministerial MDIC/MCTI nº 146, de 26 de junho de 2012",UNIDADE,29/03/2019 12:03
0045,FORNO DE MICROONDAS,"PORTARIA INTERMINISTERIAL MDIC/MCTI N° 86, 21 DE NOVEMBRO DE 2024",UNIDADE,12/03/2026 11:03
0046,APARELHO TELEFÔNICO POR FIO NÃO COMBINADO COM OUTROS APARELHOS,"PORTARIA INTERMINISTERIAL MDIC/MCT N° 135, 18 DE MAIO DE 2005",UNIDADE,
0047,APARELHO TELEFÔNICO POR FIO COMBINADO COM UM APARELHO TELEFÔNICO PORTÁTIL SEM FIO OPERANDO EM FREQÜÊNCIA IGUAL OU SUPERIOR A 900 MHZ,"PORTARIA INTERMINISTERIAL MDIC/MCTI N° 73, 16 DE AGOSTO DE 2024",UNIDADE,
0049,TELEFONE COMBINADO COM APARELHO DE ÁUDIO,"PORTARIA INTERMINISTERIAL MDIC/MCTI N° 4, 8 DE MAIO DE 2023. Alteração: PI 122/2025",UNIDADE,
0050,FAC-SÍMILE,"PORTARIA INTERMINISTERIAL SEPEC/ME/SEXEC/MCTI N° 58, 9 DE OUTUBRO DE 2020. Alterações: PI 8872/2021, PI 1167/2022, PI 8646/2022, PI 30/2023, PI 60/2024, PI 70/2024 e PI 105/2025",UNIDADE,
0052,CENTRAL AUTOMÁTICA PARA COMUTAÇÃO ELETRÔNICA DE LINHAS TELEFÔNICAS,"PORTARIA INTERMINISTERIAL SEPEC/ME/SEXEC/MCTI N° 50, 29 DE OUTUBRO DE 2018. Alteração: PI 38/2020",UNIDADE,
0053,CENTRAL AUTOMÁTICA DE VIDEOTEXTO,"PORTARIA INTERMINISTERIAL SEPEC/ME/SEXEC/MCTI N° 50, 29 DE OUTUBRO DE 2018. Alteração: PI 38/2020",UNIDADE,
0054,CENTRAL AUTOMÁTICA DE TELEX,"PORTARIA INTERMINISTERIAL SEPEC/ME/SEXEC/MCTI N° 50, 29 DE OUTUBRO DE 2018. Alteração: PI 38/2020",UNIDADE,
0055,CENTRAL AUTOMÁTICA DE COMUTAÇÃO DE PACOTES,"PORTARIA INTERMINISTERIAL SEPEC/ME/SEXEC/MCTI N° 50, 29 DE OUTUBRO DE 2018. Alteração: PI 38/2020",UNIDADE,
0056,CENTRAL AUTOMÁTICA DE SISTEMA TRONCALIZADO,"PORTARIA INTERMINISTERIAL SEPEC/ME/SEXEC/MCTI N° 50, 29 DE OUTUBRO DE 2018. Alteração: PI 38/2020",UNIDADE,
0057,ROTEADOR DIGITAL,"Portaria Interministerial ME/MCTI nº 8.687, de 19 de julho de 2021",UNIDADE,29/09/2025 11:09
0058,MODULADOR/DEMODULADOR (MODEM),"PORTARIA INTERMINISTERIAL SEPEC/ME/SEXEC/MCTI N° 12344, 18 DE OUTUBRO DE 2021. Alteração: PI 10918/2022",UNIDADE,
0059,MUTIPLEXADOR,"PORTARIA INTERMINISTERIAL SEPEC/ME/SEXEC/MCTI N° 50, 29 DE OUTUBRO DE 2018. Alteração: PI 38/2020",UNIDADE,
0060,CONVERSOR DE SINAIS SÍNCRONOS/ASSÍNCRONOS PARA TRANSMISSÃO DE PACOTES DE INFORMAÇÕES,"PORTARIA INTERMINISTERIAL SEPEC/ME/SEXEC/MCTI N° 50, 29 DE OUTUBRO DE 2018. Alteração: PI 38/2020",UNIDADE,
0061,CONCENTRADOR DE LINHAS DE ASSINANTES,"PORTARIA INTERMINISTERIAL SEPEC/ME/SEXEC/MCTI N° 50, 29 DE OUTUBRO DE 2018. Alteração: PI 38/2020",UNIDADE,
0062,CONCENTRADOR DE CIRCUITOS DIGITAIS,"PORTARIA INTERMINISTERIAL SEPEC/ME/SEXEC/MCTI N° 50, 29 DE OUTUBRO DE 2018. Alteração: PI 38/2020",UNIDADE,
0064,MICROFONE COM FIO,"PORTARIA INTERMINISTERIAL MPO/MICT/MCT N° 10, 12 DE DEZEMBRO DE 1996 - I - MICROFONE COM FIO.",UNIDADE,
0065,ALTO-FALANTE,"PORTARIA INTERMINISTERIAL MDIC/MCT N° 285, 6 DE SETEMBRO DE 2005 OBS: Somente para ALTO FALANTE PARA APARELHO DE ÁUDIO E VÍDEO E BENS DE INFORMÁTICA",UNIDADE,
0066,CAIXA ACÚSTICA,"PORTARIA INTERMINISTERIAL MDIC/MCTI N° 4, 8 DE MAIO DE 2023. Alteração: PI 122/2025",UNIDADE,06/05/2026 11:05
0068,AMPLIFICADOR ELÉTRICO DE AUDIOFREQÜÊNCIA,"PORTARIA INTERMINISTERIAL MDIC/MCTI N° 4, 8 DE MAIO DE 2023. Alteração: PI 122/2025",UNIDADE,
0069,APARELHO ELÉTRICO DE AMPLIFICAÇÃO DE SOM,"PORTARIA INTERMINISTERIAL MDIC/MCTI N° 4, 8 DE MAIO DE 2023. Alteração: PI 122/2025",UNIDADE,
0070,TOCA-DISCOS DE VINIL,"PORTARIA INTERMINISTERIAL MDIC/MCTI N° 4, 8 DE MAIO DE 2023. Alteração: PI 122/2025",UNIDADE,
0071,"TOCA-FITAS DE BOLSO - ""WALKMAN""","Portaria Interministerial MDIC/MCTI nº 4, de 8 de maio de 2023",UNIDADE,16/08/2024 17:08
0072,TOCA-DISCOS DIGITAL A LASER PORTÁTIL,"PORTARIA INTERMINISTERIAL MDIC/MCTI N° 4, 8 DE MAIO DE 2023. Alteração: PI 122/2025",UNIDADE,
0073,TOCA-DISCOS DIGITAL A LASER,"PORTARIA INTERMINISTERIAL MDIC/MCTI N° 4, 8 DE MAIO DE 2023. Alteração: PI 122/2025",UNIDADE,
0074,GRAVADOR/REPRODUTOR DE FITAS CASSETES MAGNÉTICAS,"Portaria Interministerial MDIC/MCTI nº 4, de 8 de maio de 2023",UNIDADE,15/06/2022 11:06
0075,SECRETÁRIA ELETRÔNICA,"PORTARIA INTERMINISTERIAL MDIC/MCTI N° 4, 8 DE MAIO DE 2023. Alteração: PI 122/2025",UNIDADE,
0076,VIDEOCASSETE,"PORTARIA INTERMINISTERIAL MDIC/MCTI N° 4, 8 DE MAIO DE 2023. Alteração: PI 122/2025",UNIDADE,
0077,DIGITAL VIDEO DISC - DVD PLAYER,"PORTARIA INTERMINISTERIAL MDIC/MCTI N° 4, 8 DE MAIO DE 2023. Alteração: PI 122/2025",UNIDADE,
0078,MECANISMO DE TOCA-DISCOS,"PORTARIA INTERMINISTERIAL MDIC/MCTI N° 4, 8 DE MAIO DE 2023. Alteração: PI 122/2025",UNIDADE,
0079,FITA MAGNÉTICA PARA ÁUDIO EM CASSETE GRAVADA,"PORTARIA INTERMINISTERIAL SEPEC/ME/SEXEC/MCTI N° 6489, 8 DE JUNHO DE 2021",UNIDADE,
0080,FITA MAGNÉTICA PARA VÍDEO EM CASSETE GRAVADA,"PORTARIA INTERMINISTERIAL SEPEC/ME/SEXEC/MCTI N° 6489, 8 DE JUNHO DE 2021",UNIDADE,
0081,DISCO MAGNÉTICO RÍGIDO,"PORTARIA INTERMINISTERIAL MDIC/MCTI N° 383, 30 DE DEZEMBRO DE 2013",UNIDADE,
0082,DISCO MAGNÉTICO FLEXÍVEL,"PORTARIA INTERMINISTERIAL MDIC/MCT N° 56, 17 DE FEVEREIRO DE 2005",UNIDADE,
0084,"DISCO DIGITAL DE LEITURA A LASER PARA ÁUDIO, GRAVADO - COMPACT DISC-CD","PORTARIA INTERMINISTERIAL MDIC/MCT N° 252, 18 DE OUTUBRO DE 2004",UNIDADE,
0085,"DISCO DIGITAL DE LEITURA A LASER, GRAVADO - CD - ROM","PORTARIA INTERMINISTERIAL MDIC/MCT N° 285, 19 DE DEZEMBRO DE 2001",UNIDADE,
0086,FITA MAGNÉTICA PARA COMPUTADOR NÃO GRAVADA,"PORTARIA INTERMINISTERIAL SEPEC/ME/SEXEC/MCTI N° 6489, 8 DE JUNHO DE 2021",METRO,
0087,TELEFONE CELULAR ANALÓGICO,"PORTARIA INTERMINISTERIAL MIR/MICT/MCT/MC N° 261, 30 DE DEZEMBRO DE 1994. Alteração: PI 8/1995",UNIDADE,
0088,APARELHO TELEFÔNICO SEM FIO,"PORTARIA INTERMINISTERIAL MDIC/MCTI N° 73, 16 DE AGOSTO DE 2024",UNIDADE,
0089,TELEFONE CELULAR DIGITAL COMBINADO OU NÃO COM OUTRAS TECNOLOGIAS,"PORTARIA INTERMINISTERIAL MDIC/MCTI N° 93, 8 DE JANEIRO DE 2025",UNIDADE,14/11/2025 16:11
0090,TELEFONE CELULAR FIXO,"PORTARIA INTERMINISTERIAL MDIC/MCTI N° 189, 28 DE MAIO DE 2015",UNIDADE,
0091,CÂMERA DE VÍDEO (CAMCORDER),"PORTARIA INTERMINISTERIAL MDIC/MCTI N° 4, 8 DE MAIO DE 2023. Alteração: PI 122/2025",UNIDADE,
0092,FITA MAGNÉTICA EM PANCAKE PARA ÁUDIO,"PORTARIA INTERMINISTERIAL MPO/MICT/MCT N° 28, 28 DE AGOSTO DE 1998",METRO,
0093,FITA MAGNÉTICA EM PANCAKE PARA VÍDEO,"PORTARIA INTERMINISTERIAL MPO/MICT/MCT N° 28, 28 DE AGOSTO DE 1998",METRO,
0094,RÁDIO COM TOCA-FITAS PORTÁTIL,"PORTARIA INTERMINISTERIAL MDIC/MCTI N° 4, 8 DE MAIO DE 2023. Alteração: PI 122/2025",UNIDADE,
0095,RÁDIO COM GRAVADOR/REPRODUTOR DE FITAS CASSETES MAGNÉTICAS PORTÁTIL,"PORTARIA INTERMINISTERIAL MDIC/MCTI N° 4, 8 DE MAIO DE 2023. Alteração: PI 122/2025",UNIDADE,
0096,"RÁDIO COM GRAVADOR/REPRODUTOR DE FITAS CASSETES MAGNÉTICAS E TOCA-DISCOS DIGITAL A LASER, PORTÁTIL","PORTARIA INTERMINISTERIAL MDIC/MCTI N° 4, 8 DE MAIO DE 2023. Alteração: PI 122/2025",UNIDADE,
0097,RÁDIO COM RELÓGIO,"PORTARIA INTERMINISTERIAL MDIC/MCTI N° 4, 8 DE MAIO DE 2023. Alteração: PI 122/2025",UNIDADE,
0098,AUTORRÁDIO COM TOCA-FITAS,"PORTARIA INTERMINISTERIAL MDIC/MCTI N° 4, 8 DE MAIO DE 2023. Alteração: PI 122/2025",UNIDADE,
0099,AUTORRÁDIO,"PORTARIA INTERMINISTERIAL MDIC/MCTI N° 4, 8 DE MAIO DE 2023. Alteração: PI 122/2025",UNIDADE,09/02/2026 17:02
0100,AUTORRÁDIO COM TOCA-DISCOS DIGITAL A LASER,"PORTARIA INTERMINISTERIAL MDIC/MCTI N° 4, 8 DE MAIO DE 2023. Alteração: PI 122/2025",UNIDADE,
0101,AUTORRÁDIO COM TOCA-FITAS E TOCA-DISCOS DIGITAL A LASER,"PORTARIA INTERMINISTERIAL MDIC/MCTI N° 4, 8 DE MAIO DE 2023. Alteração: PI 122/2025",UNIDADE,
0102,RÁDIO PORTÁTIL,"PORTARIA INTERMINISTERIAL MDIC/MCTI N° 4, 8 DE MAIO DE 2023. Alteração: PI 122/2025",UNIDADE,
0103,SINTONIZADOR - RECEIVER,"PORTARIA INTERMINISTERIAL MDIC/MCTI N° 4, 8 DE MAIO DE 2023. Alteração: PI 122/2025",UNIDADE,
0104,AMPLIFICADOR COM SINTONIZADOR - RECEIVER,"PORTARIA INTERMINISTERIAL MDIC/MCTI N° 4, 8 DE MAIO DE 2023. Alteração: PI 122/2025",UNIDADE,
0105,RÁDIO COM GRAVADOR/REPRODUTOR DE FITAS CASSETES MAGNÉTICAS E TOCA-DISCOS DIGITAL A LASER,"PORTARIA INTERMINISTERIAL MDIC/MCTI N° 4, 8 DE MAIO DE 2023. Alteração: PI 122/2025",UNIDADE,
0106,RÁDIO COM TOCA-DISCOS DIGITAL A LASER,"PORTARIA INTERMINISTERIAL MDIC/MCTI N° 4, 8 DE MAIO DE 2023. Alteração: PI 122/2025",UNIDADE,
0107,RECEPTOR DE SINAL DE TELEVISÃO VIA CABO,"PORTARIA INTERMINISTERIAL MDIC/MCTI N° 4, 8 DE MAIO DE 2023. Alteração: PI 122/2025",UNIDADE,
0108,RECEPTOR DE SINAL DE TELEVISÃO VIA SATÉLITE,"PORTARIA INTERMINISTERIAL MDIC/MCTI N° 4, 8 DE MAIO DE 2023. Alteração: PI 122/2025",UNIDADE,
0109,CONVERSOR PARA TELEFONE CELULAR (EXCETO PARA VEÍCULO) - COM CABO DE DADOS INCORPORADO,"PORTARIA INTERMINISTERIAL SEPEC/ME/SEXEC/MCTI N° 722, 15 DE JANEIRO DE 2021 - C",UNIDADE,
0110,APARELHO TELEFÔNICO PÚBLICO,"PORTARIA INTERMINISTERIAL SEPEC/ME/SEXEC/MCTI N° 50, 29 DE OUTUBRO DE 2018. Alteração: PI 38/2020",UNIDADE,
0111,MONITOR DE VÍDEO (EXCETO DE USO EM INFORMÁTICA),"PORTARIA INTERMINISTERIAL MDIC/MCTI N° 4, 8 DE MAIO DE 2023. Alteração: PI 122/2025",UNIDADE,
0114,TELEVISOR DE PROJEÇÃO,"Portaria Interministerial MDIC/MCTI nº 4, de 8 de maio de 2023",UNIDADE,16/08/2024 17:08
0115,PLACA DE CIRCUITO IMPRESSO MONTADA (EXCETO DE USO EM INFORMÁTICA),"DECRETO ANEXO VI N° 783, 25 DE MARÇO DE 1993",UNIDADE,22/05/2026 18:05
0116,BOBINA DESMAGNETIZADORA DE CINESCÓPIO,"Portaria interministerial MDIC/MCT nº 294, de 16 de julho de 2003. Resolução nº 2/99, para os produtos aprovados pela Portaria nº 251/96 e enquadrados no Decreto nº 2.891/98",UNIDADE,05/04/2024 11:04
0118,"GERADOR (ALTERNADOR/DÍNAMO) PARA CICLOMOTORES, MOTONETAS, MOTOCICLETAS, TRICICLOS E QUADRICICLOS","PORTARIA INTERMINISTERIAL MDIC/MCTI N° 75, 26 DE SETEMBRO DE 2024 - ART. 88 - GERADOR (ALTERNADOR/DÍNAMO). Alteração: PI 118/2025",UNIDADE,
0119,SIRENE PARA ALARME DE VEÍCULO AUTOMÓVEL,"PORTARIA INTERMINISTERIAL SEPEC/ME/SEXEC/MCTI N° 58, 9 DE OUTUBRO DE 2020. Alterações: PI 8872/2021, PI 1167/2022, PI 8646/2022, PI 30/2023, PI 60/2024, PI 70/2024 e PI 105/2025",UNIDADE,
0120,ALARME ELETRÔNICO PARA VEÍCULO,"PORTARIA INTERMINISTERIAL SEPEC/ME/SEXEC/MCTI N° 58, 9 DE OUTUBRO DE 2020. Alterações: PI 8872/2021, PI 1167/2022, PI 8646/2022, PI 30/2023, PI 60/2024, PI 70/2024 e PI 105/2025",UNIDADE,17/04/2026 11:04
0121,MÓDULO DE CONTROLE PARA ALARME,"PORTARIA INTERMINISTERIAL SEPEC/ME/SEXEC/MCTI N° 58, 9 DE OUTUBRO DE 2020. Alterações: PI 8872/2021, PI 1167/2022, PI 8646/2022, PI 30/2023, PI 60/2024, PI 70/2024 e PI 105/2025",UNIDADE,
0122,SENSOR ULTRA-SÔNICO,"PORTARIA INTERMINISTERIAL SEPEC/ME/SEXEC/MCTI N° 58, 9 DE OUTUBRO DE 2020. Alterações: PI 8872/2021, PI 1167/2022, PI 8646/2022, PI 30/2023, PI 60/2024, PI 70/2024 e PI 105/2025",UNIDADE,
0123,"CAPACITOR FIXO CERÂMICO, DISCO","DECRETO Anexo I N° 783, 25 DE MARÇO DE 1993 - III - Capacitores fixos cerâmicos, tipo disco.",MIL UNIDADES,
0124,CAPACITOR FIXO CERÂMICO MULTICAMADA PRÓPRIO PARA MONTAGEM EM SUPERFÍCIE (SMD),"Portaria Interministerial MDIC/MCT nº 39, de 26 de janeiro de 2005",MIL UNIDADES,05/04/2006 17:04
0125,CAPACITOR VARIÁVEL,"Decreto nº 783/93, Anexo I",UNIDADE,16/06/2000 12:06
0126,"CAPACITOR FIXO CERÂMICO, MULTICAMADA","Decreto nº 783/93, Anexo I OBS: Para capacitor cerâmico multicamadas SMD vide PI nº 39/05 - Produto padrão 0124",UNIDADE,
0128,DISJUNTOR,"Portaria Interministerial MDIC/MCTIC nº 59, de 15 de agosto de 2017",UNIDADE,12/07/2024 17:07
0131,CHAVE BOTOEIRA,"Portaria Interministerial MDIC/MCT nº 128, de 25 de julho de2007",UNIDADE,
0132,CONECTOR ELÉTRICO,"Portaria Interministerial MDIC/MCT nº 234/01 Para o tipo 015, vide Portaria Interministerial nº 409, de 4 de setembro de 2003",UNIDADE,24/05/2005 18:05
0133,SENSOR ÓPTICO,"Portaria Interministerial MDIC/MCT nº 453, de 8 de outubro de 2003. OBS: NCM 8543.89.99",UNIDADE,05/06/2018 17:06
0137,DIODO EMISSOR DE LUZ,"PORTARIA INTERMINISTERIAL SEPEC/ME/SEXEC/MCTI N° 5708, 8 DE JUNHO DE 2021 - Art. 2º COMPONENTES SEMICONDUTORES e DISPOSITIVOS OPTO-ELETRÔNICOS. Alterações: PI 1059/2022, PI 6/2023 e PI 162/2026",UNIDADE,
0139,BICICLETA COM CÂMBIO,"PORTARIA INTERMINISTERIAL MDIC/MCTI N° 76, 26 DE SETEMBRO DE 2024. Alterações: PI 107/2025 e PI 150/2025",UNIDADE,11/05/2026 11:05
0140,BICICLETA SEM CÂMBIO,"PORTARIA INTERMINISTERIAL MDIC/MCTI N° 76, 26 DE SETEMBRO DE 2024. Alterações: PI 107/2025 e PI 150/2025",UNIDADE,
0141,"CILINDRO INTERNO DO AMORTECEDOR PARA VEÍCULO DE DUAS RODAS, TRICICLO E QUADRICICLO (EXCETO BICICLETA)","PORTARIA INTERMINISTERIAL MDIC/MCTI N° 75, 26 DE SETEMBRO DE 2024",UNIDADE,04/01/2012 15:01
0142,"CARCAÇA DO AMORTECEDOR PARA VEÍCULO DE DUAS RODAS, TRICICLO E QUADRICICLO (EXCETO BICICLETA)","PORTARIA INTERMINISTERIAL MDIC/MCTI N° 75, 26 DE SETEMBRO DE 2024",UNIDADE,04/07/2007 11:07
0143,"DIFUSOR DO ÓLEO PARA VEÍCULO DE DUAS RODAS, TRICICLO E QUADRICICLO","PORTARIA INTERMINISTERIAL MDIC/MCTI N° 75, 26 DE SETEMBRO DE 2024",UNIDADE,16/06/2000 12:06
0144,"BUCHA DO DIFUSOR DO ÓLEO PARA MOTOCICLETA, MOTONETA, CICLOMOTOR, TRICICLO E QUADRICICLO","PORTARIA INTERMINISTERIAL MDIC/MCTI N° 75, 26 DE SETEMBRO DE 2024",UNIDADE,16/06/2000 12:06
0145,"SUPORTE DO EIXO PARA VEÍCULO DE DUAS RODAS, TRICICLO E QUADRICICLO (EXCETO BICICLETA)","PORTARIA INTERMINISTERIAL MDIC/MCTI N° 75, 26 DE SETEMBRO DE 2024",UNIDADE,
0146,"AMORTECEDOR PARA VEÍCULO DE DUAS RODAS, TRICICLO E QUADRICICLO (EXCETO BICICLETA)","Portaria Interministerial MDIC/MCTIC nº 171, de 1º de julho de 2016, com alterações dadas pela PI 40/2017, PI 34/2018, PI 50/2019, PI 34/2020 e PI 1251/2022.",UNIDADE,09/02/2024 11:02
0147,"COLUNA DE DIREÇÃO PARA VEÍCULO DE DUAS RODAS, TRICICLO E QUADRICICLO (EXCETO BICICLETA)","PORTARIA INTERMINISTERIAL MDIC/MCTI N° 75, 26 DE SETEMBRO DE 2024",UNIDADE,07/10/2004 18:10
0148,"CORPO DO AMORTECEDOR PARA VEÍCULO DE DUAS RODAS, TRICICLO E QUADRICICLO (EXCETO BICICLETA)","PORTARIA INTERMINISTERIAL MDIC/MCTI N° 75, 26 DE SETEMBRO DE 2024",UNIDADE,04/01/2012 15:01
0149,"CONJUNTO CALIPER PARA VEÍCULO DE DUAS RODAS, TRICICLO E QUADRICICLO","PORTARIA INTERMINISTERIAL MDIC/MCTI N° 75, 26 DE SETEMBRO DE 2024. Alteração: PI 118/2025",UNIDADE,
0150,"PAINEL DO FREIO PARA VEÍCULO DE DUAS RODAS, TRICICLO E QUADRICICLO (EXCETO BICICLETA)","PORTARIA INTERMINISTERIAL MDIC/MCTI N° 75, 26 DE SETEMBRO DE 2024",UNIDADE,05/11/2018 11:11
0151,"CONJUNTO DO CILINDRO MESTRE PARA VEÍCULO DE DUAS RODAS, TRICICLO E QUADRICICLO","PORTARIA INTERMINISTERIAL MDIC/MCTI N° 75, 26 DE SETEMBRO DE 2024",UNIDADE,29/08/2024 17:08
0152,"TRAVA PARA VEÍCULO DE DUAS RODAS, TRICICLO E QUADRICICLO (EXCETO BICICLETA)","PORTARIA INTERMINISTERIAL MDIC/MCTI N° 75, 26 DE SETEMBRO DE 2024",UNIDADE,26/11/2012 17:11
0153,"SAPATA DO FREIO PARA VEÍCULO DE DUAS RODAS, TRICICLO E QUADRICICLO (EXCETO BICICLETA)","PORTARIA INTERMINISTERIAL MDIC/MCTI N° 75, 26 DE SETEMBRO DE 2024",UNIDADE,05/01/2015 17:01
0159,"ARO PARA RODA DE BICICLETA, EXCETO DE PLÁSTICO","Portaria Interministerial SEPEC/ME/SEXEC/MCTI nº 12.335, de 18 de outubro de 2021.",UNIDADE,30/11/2021 19:11
